warnCity,City,State,Country,Latitude,Longitude
SILVER CREEK,Silver Creek,Georgia,United States,34.242305,-85.174276
Sm\,Smyrna,Georgia,United States,33.883887,-84.5147454
Smyrna,Smyrna,Georgia,United States,33.883887,-84.5147454
Snellville,Snellville,Georgia,United States,33.857328,-84.0199108
Social Circle,Social Circle,Georgia,United States,33.6561723,-83.7184579
Social Cirlce,Social Circle,Georgia,United States,33.6561723,-83.7184579
Soperton,Soperton,Georgia,United States,32.3771182,-82.5923554
St. Simons Island,St. Simons Island,Georgia,United States,31.2182863,-81.3612077
Statesboro,Statesboro,Georgia,United States,32.4490141,-81.7832912
Statham,Statham,Georgia,United States,33.9654884,-83.5964913
Stillmore,Stillmore,Georgia,United States,32.442115,-82.2151233
STOCKBRIDG,Stockbridge,Georgia,United States,33.5442781,-84.2338093
Stockbridge,Stockbridge,Georgia,United States,33.5442781,-84.2338093
Stone Mountain,Stone Mountain,Georgia,United States,33.8062166,-84.1457505
Stonecrest,Stonecrest,Georgia,United States,33.6831296,-84.1358505
Sugar Hill,Sugar Hill,Georgia,United States,34.1064895,-84.0335197
Suwanee,Suwanee,Georgia,United States,34.0514898,-84.0712997
Suwannee,Suwanee,Georgia,United States,34.0514898,-84.0712997
Swainsboro,Swainsboro,Georgia,United States,32.5973857,-82.3337376
Swanee,Suwanee,Georgia,United States,34.0514898,-84.0712997
Sylvania,Sylvania,Georgia,United States,32.7504441,-81.636776
Sylvester,Sylvester,Georgia,United States,31.5307349,-83.8354542
Syvania,Sylvania,Georgia,United States,32.7504441,-81.636776
Tallapoosa,Tallapoosa,Georgia,United States,33.7442912,-85.2879889
Tennille,Tennille,Georgia,United States,32.9359886,-82.8115273
Thomaston,Thomaston,Georgia,United States,32.8881879,-84.3265855
Thomasville,Thomasville,Georgia,United States,30.8365815,-83.9787808
Thompson,Thompson,Georgia,United States,32.533763,-82.920462
Thomson,Thompson,Georgia,United States,32.533763,-82.920462
Tifton,Tifton,Georgia,United States,31.4522765,-83.5096866
Toccoa,Toccoa,Georgia,United States,34.5774368,-83.332881
Toomsboro,Toomsboro,Georgia,United States,32.827004,-83.0802226
Trenton,Trenton,Georgia,United States,34.8720222,-85.50913
Trion,Trion,Georgia,United States,34.5439735,-85.3105112
Tucker,Tucker,Georgia,United States,33.8532701,-84.2200729
Unadilla,Unadilla,Georgia,United States,32.2617378,-83.7364358
Union,Union City,Georgia,United States,33.5870558,-84.5424299
Union City,Union City,Georgia,United States,33.5870558,-84.5424299
Valdosta,Valdosta,Georgia,United States,30.8327022,-83.2784851
Vidalia,Vidalia,Georgia,United States,32.2176855,-82.4134614
villa rica,Villa Rica,Georgia,United States,33.732052,-84.9191081
Wadley,Wadley,Georgia,United States,32.8668223,-82.4040162
Warm Springs,Warm Springs,Georgia,United States,32.8904081,-84.6810381
Warner Robbins,Warner Robins,Georgia,United States,32.6200973,-83.606568
Warner Robins,Warner Robins,Georgia,United States,32.6200973,-83.606568
Warrington,Warrington,Georgia,United States,33.8706712,-84.217371
Watkinsville,Watkinsville,Georgia,United States,33.8628959,-83.4087709
Waycross,Waycross,Georgia,United States,31.2135511,-82.3540178
Waynesboro,Waynesboro,Georgia,United States,33.0898731,-82.0156736
West Point,West Point,Georgia,United States,32.8779056,-85.1832746
Willacoochee,Willacoochee,Georgia,United States,31.3407551,-83.0459826
Winder,Winder,Georgia,United States,33.9919085,-83.7184368
Woodbine,Woodbine,Georgia,United States,30.9638429,-81.7226063
Woodstock,Woodstock,Georgia,United States,34.1014112,-84.5192192
Wrens,Wrens,Georgia,United States,33.2076456,-82.391792
Young Harris,Young Harris,Georgia,United States,34.9331453,-83.8471223
