City,ZCTA,CDRegion,MSA,County,Companies2007,Companies2008,Companies2009,Companies2010,Companies2011,Companies2012,Companies2013,Companies2014,Companies2015,Companies2016,Companies2017,Companies2018,Companies2019,Companies2020,Latitude,Longitude
Madison,30629.0,Northeast,"Athens-Clarke County, GA",Madison County,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1307533,-83.1817407
Manchester,31816.0,West,"Atlanta-Sandy Springs-Alpharetta, GA",Meriwether County,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32.8598538,-84.61992509999999
Marietta,30060.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,2,5,2,2,3,2,3,4,0,4,1,5,0,8,33.9528472,-84.54961479999999
Martinez,30907.0,East,"Augusta-Richmond County, GA-SC",Columbia County,0,0,0,0,0,0,0,0,0,1,0,0,1,1,33.5185135,-82.09020822
McDonough,30253.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,0,0,0,1,3,0,0,0,0,0,0,0,0,1,33.4473361,-84.1468616
McIntyre,31054.0,East,0,Wilkinson County,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32.846258299999995,-83.19071009999999
McRae,31055.0,Central,0,Telfair County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.0679541,-82.9006993
Menlo,30731.0,Northwest,"Summerville, GA",Chattooga County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.484808,-85.47634920000002
Metter,30439.0,Coastal,0,Candler County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32.397118,-82.0601196
Midland,31820.0,West,"Columbus, GA-AL",Muscogee County,0,0,1,0,0,0,1,0,1,0,0,1,0,0,32.5748608,-84.827152
Midville,30441.0,East,"Augusta-Richmond County, GA-SC",Burke County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.8190456,-82.23484549999999
Midway,31320.0,Coastal,"Hinesville, GA",Liberty County,0,0,0,0,0,0,0,0,0,0,0,1,0,2,31.805769,-81.4306642
Milledgeville,31061.0,East,"Milledgeville, GA",Baldwin County,1,1,3,0,0,0,1,1,1,0,0,0,1,0,33.0801429,-83.2320991
Millen,30442.0,East,0,Jenkins County,3,0,1,0,0,0,0,0,0,0,0,0,0,0,32.804051199999996,-81.9492812
